id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
104902634,[Da thật] Ví đứng da bò vân cá sấu MN123 (Nâu sẫm) - 100% da bò thật,OEM,189000,0,189000,0,7,5,2,161715,558 Store,875,4.4368,False,364,32
206250434,Ví cầm tay nam - ví nam cao cấp Full hộp WilliamPOLO -  V31,williampolo,755000,0,755000,0,2,5,1,310571,POLOWilliamPOLO,207,4.5667,False,30,34
114687658,Bao da Ví da đựng móc treo chìa khóa tiện lợi ( Nhiều màu),OEM,18999,0,18999,0,59,5,3,207769,FashionSOL,664,4.4138,False,737,113
21560454,Túi Xách Công Sở NamMikkor The Ralph Briefcase,Mikkor,690000,0,690000,0,44,4.7,14,8109,BALO MỚI,1737,4.6574,False,718,134
143379622,"Túi đeo chéo nam WEIXIER , túi da nam cao cấp sản phẩm da pu chính hãng phong cách hàn quốc",WEIXIER,199000,0,199000,0,22,4.7,10,74007,New Sports,1358,4.475,False,1101,5553
203146939,Túi đeo chéo King Bag Bamboo,King Bag,580000,290000,290000,50,1,5,1,8109,BALO MỚI,1737,4.6574,False,718,134
205493409,"Ví Nam Da Bò Sáp Chất Đẹp, Bóp Da Nam Thời Trang",OEM,320000,0,320000,0,1,5,1,222200,Canvin watch,612,4.7179,False,78,6
125353248,Ví Da Nam Cầm Tay Da Bò Sáp Nguyên Tấm,OEM,578000,0,578000,0,3,5,2,222200,Canvin watch,612,4.7179,False,78,6
710785,Túi Đeo Chéo Nam HARAS HRTK083 (26 x 16.5 cm) - Đen,HARAS,51000,15000,36000,29,102,3.7,33,114139,DC MART,1156,4.341,False,3457,558
88772189,"Túi Đeo Chéo Nam, Túi Đeo Ngực Nam Da Bò, Có Cổng Sạc Và Chỗ Gắn Sạc Tai Nghe TC03 - Kèm Quà Tặng Ngẫu Nhiên",OEM,115000,34000,81000,30,9,5,1,114139,DC MART,1156,4.341,False,3457,558
