id,name,brand,original_price,discount,price,discount_rate,quantity_sold,rating_average,seller_product_id,seller_avg_rating,is_official,review_count,total_follower
176250783,Áo thun nam Cotton Compact Premium trẻ trung năng động thấm hút mồ hôi co giãn 4 chiều MRM Manlywear,MRM Manlywear,249000,110000,139000,44,496.0,5.0,176250815.0,4.5436,False,4553.0,2040.0
225916989,Combo 4 Quần lót nam boxer CITYMEN nhiều lưng cao cấp vải thun lạnh co dãn 4 chiều sịp đùi nam - Giao màu ngẫu nhiên,CITYMEN,157000,70300,86700,45,15.0,5.0,225916991.0,4.5436,False,4553.0,2040.0
154298071,"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,130000,269000,33,540.0,5.0,189475417.0,4.5436,False,4553.0,2040.0
126146318,"Áo sơ mi nam trơn không nhăn LADOS - 523, Chất vải mềm mát, thấm hút mồ hôi tốt, form slimfit",LADOS,179000,0,179000,0,435.0,4.6,126146457.0,4.5436,False,4553.0,2040.0
107896589,"Combo 4 chiếc quần đùi nam thể thao Sport ngắn, quần short nam vải Thun Poly 2 Da thoáng mát, chất liệu hút ẩm, độ co giãn tốt",AK Corner,490000,245000,245000,50,425.0,4.6,107896595.0,4.5436,False,4553.0,2040.0
110704393,Combo 2 quần đùi nam Cotton mặc nhà thoải mái thoáng mát JAMANO- MÀU NGẪU NHIÊN,JAMANO,140000,41000,99000,29,1155.0,4.5,110704395.0,4.5436,False,4553.0,2040.0
20526198,Áo Sơ Mi Nam Tay Dài Khatoco A1MD598T1-THCR085-2005-D,KHATOCO ,598000,0,598000,0,41.0,5.0,20526210.0,4.5436,False,4553.0,2040.0
56614642,"Combo 5 quần sịp boxer chất cotton mềm mịn, thoải mái",ARADO FASHION,245000,86000,159000,35,357.0,4.7,56614650.0,4.5436,False,4553.0,2040.0
92142554,Áo sơ mi nam tay ngắn form suông lai bằng họa tiết nâu Khatoco A1MN568T2-ININ023-2102-D,KHATOCO ,568000,0,568000,0,18.0,4.8,92142556.0,4.5436,False,4553.0,2040.0
140523294,Quần Tây Âu Nam - dáng hàn quốc Slim Fit không đường ly vải co giãn form ôm,OEM,117000,0,117000,0,164.0,3.7,164557485.0,4.5436,False,4553.0,2040.0
22760941,Combo 3 Áo thun nam cổ bẻ [ Tặng 1 quần lót xịn ] vải cá sấu - EZ338,dokafashion,406000,127500,278500,31,369.0,4.5,72322281.0,4.5436,False,4553.0,2040.0
99183754,"Áo Polo Nam cổ bẻ TSIMPLE thun có cổ tay lỡ vải cá sấu cotton phong cách trẻ trung, chuẩn form, nhiều màu",Tsimple,170000,21000,149000,12,1934.0,4.7,99183805.0,4.5436,False,4553.0,2040.0
172120459,"Quần đùi nam, quần short mặc nhà kate caro nhiều màu , mềm mịn  - FORMEN SHOP- FMTT002",ARADO FASHION,55000,16000,39000,29,340.0,4.6,172120467.0,4.5436,False,4553.0,2040.0
76166657,Quần khaki nam không ply ống ôm xanh dương pha tím nhạt Khatoco Q2M528S0-CNMA006-2006-0,KHATOCO ,528000,0,528000,0,62.0,5.0,76166663.0,4.5436,False,4553.0,2040.0
73570874,Áo Thun Nam Cổ Tròn Nhiều Màu - SIZE,OEM,21000,0,21000,0,1264.0,3.5,93205153.0,4.5436,False,4553.0,2040.0
220668927,Quần kaki dài nam ( Tặng 1 dây nịt da cao cấp )  chất vải mềm mịn chống nhăn co giãn chuẩn phong cách thời trang Doka DKMQKK01,Doka,499000,230000,269000,46,7.0,4.2,220668929.0,4.5436,False,4553.0,2040.0
104080625,"Combo 4 Quần Lót Nam hiệu CITYMEN vải thun lạnh 4 chiều lưng Hàn Quốc cao cấp, đồ lót - LMTK-HANAL ( Giao màu ngẫu nhiên )",CITYMEN,136000,68900,67100,51,543.0,4.6,104080629.0,4.5436,False,4553.0,2040.0
134401252,"Áo thun phông nam form rộng tay lỡ cao cấp ARISTINO AC22 chất liệu cotton 100% thoáng khí, co giãn 4 chiều thoải mái vận động",Aristino,105000,21000,84000,20,508.0,4.8,134401254.0,4.5436,False,4553.0,2040.0
124853078,"Áo khoác gió tráng bạc chống nước cao cấp ATUNER AT022, kiểu dáng unisex thời trang, phù hợp cho cả nam và nữ , vải 2 lớp chống nước, chống gió, nhiều màu - Hàng Chính Hãng",ATUNER,350000,175000,175000,50,961.0,4.6,124853096.0,4.5436,False,4553.0,2040.0
95052893,Quần short nam big size quần sọt nam thể thao chống nóng quần đùi nam mặc nhà quần thun nam cotton 4 chiều co giãn cao cấp WSB2,N6,115000,56000,59000,49,1096.0,4.5,95052905.0,4.5436,False,4553.0,2040.0
162033134,Combo 5 quần đùi nam mặc nhà Cotton thoải mái thoáng mát Họa Tiết Ngẫu Nhiên - JAMANO,JAMANO,350000,121000,229000,35,446.0,4.7,162033140.0,4.5436,False,4553.0,2040.0
181806714,Hộp 4 Quần Lót Tam Giác Nam Cao Cấp Thun Lạnh Quần Sịp Xì Chéo Nam Co Giãn 4 Chiều,OEM,140000,41000,99000,29,271.0,5.0,181806716.0,4.5436,False,4553.0,2040.0
20518720,Quần Short Nam Khatoco Q3M318R0-VNMA032-2009-018,KHATOCO ,318000,0,318000,0,187.0,4.7,20518780.0,4.5436,False,4553.0,2040.0
73365866,"Bộ 10 Quần Lót Nam vải cotton 2 chiều co giãn nhiều lưng hiệu CITYMEN, màu ngẫu nhiên, đồ lót - LMTK-MULTI2C",CM,180000,95900,84100,53,836.0,4.5,73365868.0,4.5436,False,4553.0,2040.0
107801368,"Combo 2 quần đùi nam May 10 phiên bản có túi 2 bên, màu ngẫu nhiên",May 10,119000,1000,118000,1,966.0,4.5,107801376.0,4.5436,False,4553.0,2040.0
145266582,"Combo 3 quần sịp tam giác, Set 3 quần lót nam dáng Brief ARISTINO chất liệu Bamboo thoáng mát, kháng khuẩn khử mùi cực tốt AC-06",Aristino,240000,60400,179600,25,480.0,4.6,145266588.0,4.5436,False,4553.0,2040.0
144146564,"Combo 3 quần sịp đùi nam, set 3 quần lót boxer nam Aristino chất liệu Modal cao cấp kháng khuẩn, khử mùi, mềm mại thoáng mát gấp 2 lần so với sợi vải thông thường ABX1616",Aristino,390000,97500,292500,25,151.0,4.8,144146571.0,4.5436,False,4553.0,2040.0
99410538,"Áo thun polo Bảo Bảo Store Vải cá sấu chất xịn, có viền cổ trẻ trung, lịch lãm hàng xuất -Hình ảnh độc quyền của shop",BẢO BẢO STORE,120000,69000,51000,58,483.0,4.5,99410552.0,4.5436,False,4553.0,2040.0
163647664,Áo Thể Thao Nam TSIMPLE cổ tròn tay ngắn tập gym vải thun lạnh thoáng mát co giãn chuẩn form Keep It Simple,Tsimple,165000,66000,99000,40,80.0,4.7,163647690.0,4.5436,False,4553.0,2040.0
141959833,"Quần Short Nam, Quần Ngố Nam Vải Đũi Mềm Mịn Thoáng Mát",OEM,86000,17000,69000,20,279.0,4.5,141960011.0,4.5436,False,4553.0,2040.0
54762609,Quần kaki nam Khatoco Q2M528R1-INMA003-2106-1,KHATOCO ,528000,0,528000,0,18.0,4.8,54762617.0,4.5436,False,4553.0,2040.0
