id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
112064344,"Combo 3 áo ba lỗ nam, áo 3 lỗ nam, sợi cotton mềm mịn, thấm hút mồ hôi tốt, thoáng mát, mặc thoải mái JAMANO",JAMANO,297000,78000,219000,26,68,4.7,12,147336,JM STORE,976,4.6942,False,3898,910
30763890,Quần kaki nam 1 ply ống đứng Khatoco Q2M468R1-VNMA011-1907-1,KHATOCO ,468000,299000,169000,64,109,4.8,26,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
198364527,Quần short nam vải mềm Khatoco Q3M378R0-CNMA002-2009-009-ĐEN ĐỐM,KHATOCO ,378000,229000,149000,61,70,4.8,18,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
20525986,Áo Sơ Mi Nam Tay Dài Khatoco A1MD598T1-CNMK007-2004-D,KHATOCO ,598000,409000,189000,68,96,5.0,31,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
67516826,Áo sơ mi nam tay ngắn tím họa tiết Khatoco A1MN468T2-CNIN035-2110-N,KHATOCO ,468000,140400,327600,30,29,5.0,14,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
205226439,Áo Thể Thao Nam cổ tròn tay ngắn tập gym vải thun lạnh thoáng mát co giãn chuẩn form MSSAHS,Tsimple,149000,54000,95000,36,164,4.8,37,33099,TSIMPLE OFFICIAL STORE,1498,4.6514,True,3655,835
74209205,"Áo thun One Piece Zoro T01 , áo phông One Piece Zoro Unisex Nam Nữ có Size bé từ 25-95kg",OEM,35000,0,35000,0,64,4.6,9,75291,Xưởng Thời Trang Hùng,1347,3.9519,False,3075,642
83519454,ÁO THUN NAM DÀI TAY CỔ SƠ MI PHONG CÁCH HÀN QUỐC ATD01-XANH ĐEN,OEM,193700,67050,126650,35,46,4.1,17,22563,sitaki store,1533,4.0966,False,766,68
73485306,Áo thun nam dài tay cổ bẻ Hahaman cao cấp nhiều màu CBDT01 - M,Hahaman,200000,0,200000,0,102,4.7,32,4247,HAHAFASHION,1799,4.2389,True,4203,544
221277108,Quần Đùi Nam FASVIN dáng lửng Vải Đẹp Hàng Nhà Máy Chất Lượng Cao Thể Thao Hay Mặc Nhà T23558.HN,Fasvin,209000,10000,199000,5,2,4.5,2,159408,Fasvin quần áo thể thao,721,4.7429,True,455,215
220666598,"Áo Khoác Nam Cách Nhiệt Vải Kaki Cao Cấp US ARMY U799, Áo Khoác Kaki Lính 2 Lớp Phong Cách Cực Ngầu -HÀNG CHÍNH HÃNG",US ARMY,1898000,949000,949000,50,4,5.0,2,276201,US ARMY OFFICIAL,409,4.7324,True,2164,276
56041700,"Quần bơi nam cao cấp, đồ bơi nam boxer đẹp",OEM,220000,21000,199000,10,113,5.0,22,33926,Sona Activewear,1502,4.6342,False,894,122
110181593,Áo sơ mi nam cộc tay MAY 10 mã  010120003 AH239,May 10,203000,24000,179000,12,44,4.6,23,16588,May 10,1607,4.574,False,7998,2295
30763873,Quần short kaki nam Khatoco Q3M378R0-VNIN002-2011-019,KHATOCO ,378000,229000,149000,61,76,4.8,24,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
172322104,"TOKYO, mã G159. Áo thun hàng hiệu GOKING, form unisex cho nam nữ, trẻ em, bé trai gái. Áo phông in hình chữ đẹp. Quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp",GOKING,69000,0,69000,0,85,4.8,18,18138,GOKING,1594,4.6655,False,9088,2678
75601328,"áo hoodie nam nữ, áo hoodie nữ, áo hoodie nam, áo hoodie ulzzang, áo hoodie unisex, Áo Hoodie Nỉ Bông Unisex Streetwear Lục Lăng ( unisex nam nữ đều mặc được)",Jinrinteen,100000,0,100000,0,78,4.6,17,43788,jinshopteen,1468,4.1979,False,4821,1817
94808483,"Quần Baggy, quan jean xuong,quần bò nam, nữ ,dáng ống suông, rộng nam- hot trend 2021",OEM,121000,0,121000,0,153,3.7,55,62358,Hương Nemo Style,1398,3.9105,False,5542,857
99995337,Áo thun nam nữ unisex from rộng in hình chú mèo cầm chảo may mắn,OEM,11000,0,11000,0,226,4.2,71,180638,FASHION TREND,756,3.5251,False,4654,1464
207946158,Áo thun tay lỡ Basic in cao thành phông Unisex nam nữ Cotton oversize form rộng LUNACY,Lunacy,369000,130000,239000,35,7,5.0,6,300434,Lunacy Official Store,277,4.9194,True,62,127
76437071,Áo Chống Nắng Dành Cho Nam Thoáng Mát Chống UV CN11 Cao Cấp,OEM,79000,0,79000,0,32,4.7,10,148660,M O N Boutique,972,4.3298,False,1489,570
216371453,"Áo Thun Nam Ngắn Tay Cổ Tròn 5S COMFORT, Chất Liệu Cotton USA, Mát, Mềm Mịn, Thấm Hút Tốt, In Trẻ Trung (TSO23002)",5S,229000,74000,155000,32,17,5.0,6,25955,5S FASHION,1523,4.657,True,33442,11463
172283135,"PARIS, mã G108. Áo phông GOKING hàng hiệu, form unisex cho nam nữ, trẻ em, bé trai gái. Áo thun in hình siêu đẹp, quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp",GOKING,69000,0,69000,0,103,4.8,28,18138,GOKING,1594,4.6655,False,9088,2678
